longDBName,shortDBName,an,title,abstract,publicationDate,contributors,docTypes,pubTypes,coverDate,peerReviewed,source,subjects,isiType,doids,isbns,issns,publisherLocations,identifiers,isOpenAccess,bookEdition,language,publisher,pageEnd,pageStart,pageCount,volume,issue,doi,notes,mid,degreeLevel,plink,articleType,citedByCount,retracted,retractionNote,__source_file,all_plinks,source_canonical
Computers & Applied Sciences Complete,iih,74756688,A COST-BASED DATABASE REQUEST DISTRIBUTION TECHNIQUE FOR ONLINE E-COMMERCE APPLICATIONS.,"E-commerce is growing to represent an increasing share of overall sales revenue, and online sales are expected to continue growing for the foreseeable future. This growth translates into increased activity on the supporting infrastructure, leading to a corresponding need to scale the infrastructure. This is difficult in an era of shrinking budgets and increasing functional requirements. Increasingly, IT managers are turning to virtualized cloud providers, drawn by the pay-for-use business model. As cloud computing becomes more popular, it is important for data center managers to accomplish more with fewer dollars (i.e., to increase the utilization of existing resources). Advanced request distribution techniques can help ensure both high utilization and smart request distribution, where requests are sent to the service resources best able to handle them. While such request distribution techniques have been applied to the web and application layers of the traditional online application architecture, request distribution techniques for the data layer have focused primarily on online transaction processing scenarios. However, online applications often have a significant read-intensive workload, where read operations constitute a significant percentage of workloads (up to 95 percent or higher).In this paper, we propose a cost-based database request distribution (C-DBRD) strategy, a policy to distribute requests, across a cluster of commercial, off-the-shelf databases, and discuss its implementation. We first develop the intuition behind our approach, and describe a high-level architecture for database request distribution. We then develop a theoretical model for database load computation, which we use to design a method for database request distribution and build a software implementation. Finally, following a design science methodology, we evaluate our artifacts through experimental evaluation. Our experiments, in the lab and in production-scale systems, show significant improvement of database layer resource utilization,demonstrating up to a 45 percent improvement over existing request distribution techniques",20120601,"VanderMeer, Debra ; Dutta, Kaushik ; Datta, Anindya",Article,Academic Journal,Jun2012,True,MIS Quarterly,Electronic commerce software ; Database design ; Model-based reasoning ; Querying (Computer science) ; Business models ; Cost per click (Marketing),JOUR,,,0276-7783,,,,,eng,MIS Quarterly,507,479,29.0,36.0,2,10.2307/41703464,,MIS,,https://research.ebsco.com/plink/f764c70d-dc76-37fd-8fe4-77edd98a617c,,,,,85b03fda-b27e-48e8-8a4c-c83e69fd20c1.csv,https://research.ebsco.com/plink/f764c70d-dc76-37fd-8fe4-77edd98a617c|https://research.ebsco.com/plink/eb6c97f1-9c69-32e0-84df-f7db5846b4d3|https://research.ebsco.com/plink/bc266b74-9c83-3609-84a9-e71a0155208a,MIS Quarterly
Computers & Applied Sciences Complete,iih,67129549,A MULTILEVEL MODEL FOR MEASURING FIT BETWEEN A FIRM'S COMPETITIVE STRATEGIES AND INFORMATION SYSTEMS CAPABILITIES.,"To compete in a highly dynamic marketplace, firms must frequently adapt and align their competitive strategies and information systems. The dominant literature on the strategic fit of a firm's information systems focuses primarily on high-level measures of the strategic fit of a firm's overall IS portfolio and the impact of fit on business performance. This paper addresses the need for a more fine-grained approach for assessing the specific areas of misfit between a firm's competitive strategies and IS capabilities. We describe the design and evaluation of a multilevel strategic fit (MSF) measurement model that enables researchers and practitioners to measure the strategic fit of a firm's information systems at both an overall and a detailed level. The steps in the model include identifying the relevant IS capabilities according to the type of system; measuring the current level of support for each capability using a capabilities instrument; identifying the ideal level of support for each capability using an adaptation of Conant et al.'s (1990) instrument to assess strategic archetype; and comparing the ideal and realized level of support for each capability. Evidence from a multiple case study analysis indicates that the fine-grained assessment of strategic fit can strengthen the validity, utility, and ease of corroboration of the strategic fit measurement outputs. The paper also demonstrates how an iterative design science research approach, with its emphasis on evaluating the utility of prototype artifacts, is well suited to developing field-tested and theoretically grounded measurement models and instruments that are accessible to practitioners. This focus on practical utility in turn provides researchers with results that can be more readily corroborated, thus improving the quality and usefulness of the research findings.",20111201,"McLaren, Tim S. ; Head, Milena M. ; Yuan, Yufei ; Chan, Yolande E.",Case Study,Academic Journal,Dec2011,True,MIS Quarterly,Economic competition ; Business planning ; Management information systems ; Strategic alliances (Business),CASE,,,0276-7783,,,,,eng,MIS Quarterly,A10,909,,35.0,4,10.2307/41409966,,MIS,,https://research.ebsco.com/plink/ad6e8b2e-8a5d-3c2a-87b6-1024304e4195,,,,,85b03fda-b27e-48e8-8a4c-c83e69fd20c1.csv,https://research.ebsco.com/plink/ad6e8b2e-8a5d-3c2a-87b6-1024304e4195|https://research.ebsco.com/plink/418a213b-38ed-3e22-a37d-8b8bf0faebc4|https://research.ebsco.com/plink/3f6cced2-d288-384b-b0b3-ae814b5c1b8b,MIS Quarterly
Computers & Applied Sciences Complete,iih,63602929,DESIGN PRINCIPLES FOR VIRTUAL WORLDS.,"In this research note, we examine the design, development, validation, and use of virtual worlds. Our purpose in doing so is to extend the design science paradigm by developing a set of design principles applicable to the context of virtual environments, particularly those using agent-based simulation as their underlying technology. Our central argument is that virtual worlds comprise a new class of information system, one that combines the structural aspects of traditional modeling and simulation systems in concert with emergent user dynamics of systems supporting emergent knowledge processes. Our approach involves two components. First, we review the characteristics of agent-based virtual worlds (ABVWs) to discern design requirements that may challenge current design theory. From this review, we derive a set of design principles based on deep versus emergent structures where deep structures reflect conventional modeling and simulation system architectures and emergent structures capture the unpredictable user-system dynamics inherent in emergent knowledge processes, which increasingly characterize virtual worlds. We illustrate how these design challenges are addressed with an exemplar of a complex mirror world, a large-scale ABVW we developed called Sentient World. Our contribution is the insight of partitioning ABVW architectures into deep and emergent structures that mirror modeling systems and emergent knowledge processes respectively, while developing extended design principles to facilitate their integration. We conclude with a discussion of the implications of our design principles for informing and guiding future research and practice.",20110901,"Chaturvedi, Alok R. ; Dolk, Daniel R. ; Drnevich, Paul L.",Article,Academic Journal,Sep2011,True,MIS Quarterly,Afghanistan ; Virtual reality ; Agent (Philosophy) ; Simulation methods & models ; User-centered system design ; User-generated content,JOUR,,,0276-7783,,,,,eng,MIS Quarterly,684,673,12.0,35.0,3,10.2307/23042803,,MIS,,https://research.ebsco.com/plink/84f7773c-1469-39c9-b6cd-7179be5f3571,,,,,85b03fda-b27e-48e8-8a4c-c83e69fd20c1.csv,https://research.ebsco.com/plink/84f7773c-1469-39c9-b6cd-7179be5f3571|https://research.ebsco.com/plink/7c0da130-24bb-34e1-b6b1-dbad4e4da914|https://research.ebsco.com/plink/54eca80f-255b-37ca-90f9-6c31033eae8f,MIS Quarterly
Computers & Applied Sciences Complete,iih,59552571,THE EFFECTS OF TREE-VIEW BASED PRESENTATION ADAPTATION ON MOBILE WEB BROWSING.,"Accessing the Web from mobile handheld devices has become increasingly common. However, accomplishing that task remains challenging mainly due to the physical constraints of handheld devices and the static presentation of Web pages. Adapting the presentation of Web pages is, therefore, critical to enabling effective mobile Web browsing and information searching. Based on cognitive fit theory and information foraging theory, we propose a novel hybrid approach to adapting Web page presentation that integrates three types of adaptation techniques, namely tree-view, hierarchical text summarization, and colored keyword highlighting. By following the design science research framework, we implemented the proposed approach on handheld devices and empirically evaluated the effects of presentation adaptation on mobile Web browsing. The results show that presentation adaptation significantly improves user performance and perception of mobile Web browsing. We also discover that the positive impact of presentation adaptation is moderated by the complexity of an information search task. The findings have significant theoretical and practical implications for the design and implementation of mobile Web applications.",20110301,"Adipat, Boonlit ; Zhang, Dongson ; Zhou, Lina",Article,Academic Journal,Mar2011,True,MIS Quarterly,Web browsing ; Wireless Internet ; Mobile computing ; Web browsers ; Portable computers ; Websites,JOUR,,,0276-7783,,,,,eng,MIS Quarterly,122,99,24.0,35.0,1,10.2307/23043491,,MIS,,https://research.ebsco.com/plink/cfcb5794-841c-37ef-be03-b77e78f94547,,,,,85b03fda-b27e-48e8-8a4c-c83e69fd20c1.csv,https://research.ebsco.com/plink/cfcb5794-841c-37ef-be03-b77e78f94547|https://research.ebsco.com/plink/e5efab13-c4a2-3905-85b1-be48134ac608|https://research.ebsco.com/plink/09359110-108a-3970-b7d5-8b5198b24e2a,MIS Quarterly
Business Source Complete,bth,146010356,Finding Useful Solutions in Online Knowledge Communities: A Theory-Driven Design and Multilevel Analysis.,"In this study, we utilize a kernel theory of knowledge adoption model and propose a novel text analytic framework to classify the usefulness of solutions in online knowledge communities. The study combines multiple disciplines (behavioral, empirical, design science, and technical) to tackle an important and relevant business problem: how to effectively manage an online knowledge repository and identify useful solutions. Our framework can be implemented in online knowledge communities to improve users' experience of searching for useful knowledge. The proposed framework has the potential to guide the development of customer-facing chatbots, which understand human-language questions and return helpful answers immediately. Online communities and social collaborative platforms have become an increasingly popular avenue for knowledge sharing and exchange. In these communities, users often engage in informal conversations responding to questions and answers, and over time, they produce a huge amount of highly unstructured and implicit knowledge. How to effectively manage the knowledge repository and identify useful solutions thus becomes a major challenge. In this study, we propose a novel text analytic framework to extract important features from online forums and apply them to classify the usefulness of a solution. Guided by the design science research paradigm, we utilize a kernel theory of the knowledge adoption model, which captures a rich set of argument quality and source credibility features as the predictors of information usefulness. We test our framework on two large-scale knowledge communities: the Apple Support Community and Oracle Community. Our extensive analysis and performance evaluation illustrate that the proposed framework is both effective and efficient in predicting the usefulness of solutions embedded in the knowledge repository. We highlight the theoretical implications of the study as well as the practical applications of the framework to other domains.",20200901,"Liu, Xiaomo ; Wang, G. Alan ; Fan, Weiguo ; Zhang, Zhongju",Article,Academic Journal,Sep2020,True,Information Systems Research (INFORMS),Internet forums ; Design science ; Information sharing ; Oracle Corp. ; Internet Publishing and Broadcasting and Web Search Portals ; Virtual communities ; Theory of knowledge ; Community support,JOUR,,,1047-7047,,,,,eng,INFORMS: Institute for Operations Research & the Management Sciences,752,731,22.0,31.0,3,10.1287/isre.2019.0911,,1LD,,https://research.ebsco.com/plink/951a1758-2a76-3a7e-93d0-82eb4d12a8c2,,,,,85b03fda-b27e-48e8-8a4c-c83e69fd20c1.csv,https://research.ebsco.com/plink/951a1758-2a76-3a7e-93d0-82eb4d12a8c2|https://research.ebsco.com/plink/4d1c5516-1359-3596-9ca4-a7d099aae118|https://research.ebsco.com/plink/77903e3d-2bdb-3cc8-9852-c91dea3480c3,Information Systems Research
Business Source Complete,bth,138884138,Don't Mention It? Analyzing User-Generated Content Signals for Early Adverse Event Warnings.,"With greater impetus on broad postmarket surveillance, the Voice of the Customer (VoC) has emerged as an important source of information for understanding consumer experiences and identifying potential issues. In organizations, risk management groups are increasingly interested in working with their information technology teams to develop robust VoC listening platforms. Two key challenges have impeded success. First, prior work has leveraged diverse sets of channels, adverse event types, and modeling methods, resulting in diverging conclusions regarding the viability and efficacy of various user-generated channels and accompanying modeling methods. Second, many existing detection methods rely on ""mention models"" that have low detection rates, have high false positives, and lack timeliness. Following the information systems design science approach, in this research note we propose a framework for examining key design elements for VoC listening platforms. As part of our framework, we also develop a novel heuristic-based method for detecting adverse events. We evaluate our framework and method on two large test beds, each encompassing millions of tweets, forums postings, and search query logs pertaining to hundreds of adverse events related to the pharmaceutical and automotive industries. With greater impetus on broad postmarket surveillance, the Voice of the Customer (VoC) has emerged as an important source of information for understanding consumer experiences and identifying potential issues. In organizations, risk management groups are increasingly interested in working with their information technology teams to develop robust VoC listening platforms. Two key challenges have impeded success. First, prior work has leveraged diverse sets of channels, adverse event types, and modeling methods, resulting in diverging conclusions regarding the viability and efficacy of various user-generated channels and accompanying modeling methods. Second, many existing detection methods rely on ""mention models"" that have low detection rates, have high false positives, and lack timeliness. Following the information systems design science approach, in this research note we propose a framework for examining key design elements for VoC listening platforms. As part of our framework, we also develop a novel heuristic-based method for detecting adverse events. We evaluate our framework and method on two large test beds each encompassing millions of tweets, forums postings, and search query logs pertaining to hundreds of adverse events related to the pharmaceutical and automotive industries. The results shed light on the interplay between user-generated channels and event types, as well as the potential for more robust event modeling methods that go beyond basic mention models. Our analysis framework reveals that user-generated content channels can facilitate timelier detection of adverse events: on average, two to three years or earlier than commonly used databases. The inclusion of negative sentiment polarity in the models can further reduce false-positive rates. Additionally, we find social media channels provide higher detection rates but lower precision than do search-based signals. The search and web forum channels are timelier than Twitter. The proposed heuristic-based method attains markedly better results than do existing methods—with earlier detection rates of 50%–80% and far fewer false positives across an array of VoC channels and event types. The heuristic method is also well suited for signal fusion across channels. Our note makes several contributions to research. The results also have important implications for various practitioner groups, including regulatory agencies and risk management teams at product manufacturing firms.",20190901,"Abbasi, Ahmed ; Li, Jingjing ; Adjeroh, Donald ; Abate, Marie ; Zheng, Wanhong",Article,Academic Journal,Sep2019,True,Information Systems Research (INFORMS),User-generated content ; Design science ; Information resources ; Systems design ; Information technology ; Adverse health care events,JOUR,,,1047-7047,,,,,eng,INFORMS: Institute for Operations Research & the Management Sciences,1028,1007,22.0,30.0,3,10.1287/isre.2019.0847,,1LD,,https://research.ebsco.com/plink/b4a99bc3-6161-3033-ad6e-c2977346509e,,,,,85b03fda-b27e-48e8-8a4c-c83e69fd20c1.csv,https://research.ebsco.com/plink/b4a99bc3-6161-3033-ad6e-c2977346509e|https://research.ebsco.com/plink/adf4d2f4-d39e-324a-8dd8-4eff60789517|https://research.ebsco.com/plink/80f87569-201b-34ee-a553-84acd85b1c69,Information Systems Research
Applied Science & Technology Source Ultimate,aps,34960502,MAKING SENSE OF TECHNOLOGY TRENDS IN THE INFORMATION TECHNOLOGY LANDSCAPE: A DESIGN SCIENCE APPROACH.,"A major problem for firms making information technology investment decisions is predicting and understanding the effects of future technological developments on the value of present technologies. Failure to adequately address this problem can result in wasted organization resources in acquiring, developing, managing, and training employees in the use of technologies that are short-lived and fail to produce adequate return on investment. The sheer number of available technologies and the complex set of relationships among them make IT landscape analysis extremely challenging. Most IT-consuming firms rely on third parties and suppliers for strategic recommendations on IT investments, which can lead to biased and generic advice. We address this problem by defining a new set of constructs and methodologies upon which we develop an IT ecosystem model. The objective of these artifacts is to provide a formal problem representation structure for the analysis of information technology development trends and to reduce the complexity of the IT landscape for practitioners making IT investment decisions. We adopt a process theory perspective and use a combination of visual mapping and quantification strategies to develop our artifacts and a state diagram-based technique to represent evolutionary transitions over time. We illustrate our approach using two exemplars: digital music technologies and wireless networking technologies. We evaluate the utility of our approach by conducting in-depth interviews with IT industry experts and demonstrate the contribution of our approach relative to existing techniques for technology forecasting.",20081201,"Adomavicius, Gediminas ; Bockstedt, Jesse C. ; Gupta, Alok ; Kauffman, Robert J.",Article,Academic Journal,Dec2008,True,MIS Quarterly,Information resources ; High technology industries personnel ; Technological forecasting ; Information technology ; Miscellaneous Financial Investment Activities ; Investment Advice ; Investment analysis ; Investments ; Finance,JOUR,,,02767783,,,,,English,,809,779,31.0,32.0,4,10.2307/25148872,,MIS,,https://research.ebsco.com/plink/9a402af0-0976-330a-8ccb-f280c95fc608,,,,,85b03fda-b27e-48e8-8a4c-c83e69fd20c1.csv,https://research.ebsco.com/plink/9a402af0-0976-330a-8ccb-f280c95fc608|https://research.ebsco.com/plink/1c8aef97-11c3-3600-875f-2fb273785561|https://research.ebsco.com/plink/d37f0485-c39f-31e5-ab06-d044cd0d77eb|https://research.ebsco.com/plink/e3e2b2a1-d716-36cb-bc8d-0bbd36c33716|https://research.ebsco.com/plink/66dc2ff0-0e8e-3cc5-b9a8-152ae20dda61,MIS Quarterly
Applied Science & Technology Source Ultimate,aps,12581935,DESIGN SCIENCE IN INFORMATION SYSTEMS RESEARCH.,"Two paradigms characterize much of the research in the Information Systems discipline: behavioral science and design science. The behavioral science paradigm seeks to develop and verify theories that explain or predict human or organizational capabilities by creating new and innovative artifacts. Both paradigms are foundational to the IS discipline, positioned as it is at the confluence of people, organizations, and technology. Our objective is to describe the performance of design-science research in Information Systems via a concise conceptual framework and clear guidelines for understanding, executing, and evaluating the research. In the design-science paradigm, knowledge and understanding of a problem domain and its solution are achieved in the building and application of the designed artifact. Three recent exemplars in the research literature are used to demonstrate the application of these guidelines. We conclude with an analysis of the challenges of performing high-quality design-science research in the context of the broader IS community.",20040301,"Hevner, Alan R. ; March, Salvatore T. ; Park, Jinsoo ; Ram, Sudha",Article,Academic Journal,Mar2004,True,MIS Quarterly,Information science ; Information resources ; Organizational behavior ; Psychology ; Database searching ; Research methodology ; Information technology research ; Work environment research ; Industrial efficiency ; Standard operating procedure,JOUR,,,02767783,,,,,English,,105,75,31.0,28.0,1,10.2307/25148625,,MIS,,https://research.ebsco.com/plink/73c9a2b1-80a4-3898-8e4c-34e6eee9d44d,,,,,85b03fda-b27e-48e8-8a4c-c83e69fd20c1.csv,https://research.ebsco.com/plink/73c9a2b1-80a4-3898-8e4c-34e6eee9d44d|https://research.ebsco.com/plink/04599c3c-56b9-344c-9166-934c4311b4c8|https://research.ebsco.com/plink/48dc0392-005c-3f36-9298-3309514dd5fa|https://research.ebsco.com/plink/df4d3607-5d87-3dee-9cb5-e253689c23d4,MIS Quarterly
Applied Science & Technology Source Ultimate,aps,34960548,DESIGN SCIENCE IN THE INFORMATION SYSTEMS DISCIPLINE: AN INTRODUCTION TO THE SPECIAL ISSUE ON DESIGN SCIENCE RESEARCH.,An introduction is presented to the articles published in this issue.,20081201,"March, Salvatore T. ; Storey, Veda C.",Article,Academic Journal,Dec2008,True,MIS Quarterly,Information science ; Prefaces & forewords,JOUR,,,02767783,,,,,English,,730,725,6.0,32.0,4,10.2307/25148869,,MIS,,https://research.ebsco.com/plink/51884036-8161-3450-ad4f-0a642fc17069,,,,,85b03fda-b27e-48e8-8a4c-c83e69fd20c1.csv,https://research.ebsco.com/plink/51884036-8161-3450-ad4f-0a642fc17069|https://research.ebsco.com/plink/c03a6bed-4420-3eb5-9229-8c2c374783f7|https://research.ebsco.com/plink/5f4aa70d-2ed2-3d18-adc0-0dd6a7f6b82d|https://research.ebsco.com/plink/065eb3ae-fb4b-32ea-ae1d-8efef589b4ce|https://research.ebsco.com/plink/f17e268d-0b0d-3f5d-8401-91eef9289a93,MIS Quarterly
Business Source Complete,bth,99537939,Heuristic Theorizing: Proactively Generating Design Theories.,"Design theories provide explicit prescriptions, such as principles of form and function, for constructing an artifact that is designed to meet a set of defined requirements and solve a problem. Design theory generation is increasing in importance because of the increasing number and diversity of problems that require the participation and proactive involvement of academic researchers to build and test artifact-based solutions. However, we have little understanding of how design theories are generated. Drawing on key contributions by Herbert A. Simon, including the ideas of satisfice and bounded rationality and reviewing a large body of information systems and problem-solving literature, we develop a normative framework for proactive design theorizing based on the notion of heuristic theorizing. Heuristics are rules of thumb that provide a plausible aid in structuring the problem at hand or in searching for a satisficing artifact design. An example of a problem-structuring heuristic is problem decomposition and an example of an artifact design heuristic is analogical design. We define heuristic theorizing as the process of proactively generating design theory for prescriptive purposes from problem-solving experiences and prior theory by constantly iterating between the search for a satisficing problem solution, i.e., heuristic search, and the synthesis of new information that is generated during heuristic search, i.e., heuristic synthesis. Heuristic search involves alternating between structuring the problem at hand and generating new artifact design components, whereas heuristic synthesis involves different ways of thinking, including reflection and learning and forms of reasoning, that complement the use of heuristics for theorizing purposes. We illustrate the effectiveness of our heuristic theorizing framework through a detailed example of a multiyear design science research program in which we proactively generated a design theory for solving problems in the area of intelligent information management and so-called big data in the finance domain. We propose that heuristic theorizing is a useful alternative to established theorizing approaches, i.e., reasoning-based approaches. Heuristic theorizing is particularly relevant for proactive design theorizing, which emphasizes problem solving as being highly intertwined with theorizing, involves a greater variety of ways of thinking than other theorizing approaches, and assumes an engaged relationship between academics and practitioners.",20140901,"Wayne Gregory, Robert ; Muntermann, Jan",Article,Academic Journal,Sep2014,True,Information Systems Research (INFORMS),"Heuristic programming ; Information storage & retrieval systems ; Information resources management ; Problem solving ; All Other Information Services ; Simon, Herbert A. (Herbert Alexander), 1916-2001",JOUR,,,1047-7047,,,,,eng,INFORMS: Institute for Operations Research & the Management Sciences,653,639,15.0,25.0,3,10.1287/isre.2014.0533,,1LD,,https://research.ebsco.com/plink/c749a81a-69f8-3433-897d-b90472f71983,,,,,85b03fda-b27e-48e8-8a4c-c83e69fd20c1.csv,https://research.ebsco.com/plink/c749a81a-69f8-3433-897d-b90472f71983|https://research.ebsco.com/plink/7389287a-a108-3087-ad77-49901e42e80f|https://research.ebsco.com/plink/0a8055ae-76b4-3892-9b51-818f754bdccd|https://research.ebsco.com/plink/ead462d4-8c34-3da3-b0b1-86b9e7dc8162|https://research.ebsco.com/plink/505e0b58-8e41-3b5d-9c89-6cb776648e1a,Information Systems Research
Business Source Complete,bth,76359365,Modeling Spatial and Temporal Set-Based Constraints During Conceptual Database Design.,"From a database perspective, business constraints provide an accurate picture of the real world being modeled and help enforce data integrity. Typically, rules are gathered during requirements analysis and embedded in code during the implementation phase. We propose that the rules be explicitly modeled during conceptual design, and develop a framework for understanding and classifying spatiotemporal set-based (cardinality) constraints and an associated syntax. The constraint semantics are formally specified using first-order logic. Modeling rules in conceptual design ensures they are visible to designers and users and not buried in application code. The rules can then be semiautomatically translated into logical design triggers yielding productivity gains. Following the principles of design science research, we evaluate the framework's expressiveness and utility with a case study.",20120301,"Currim, Faiz ; Ram, Sudha",Article,Academic Journal,Mar2012,True,Information Systems Research (INFORMS),Database design ; Systems design ; Data integrity ; Conceptual design ; Semantics ; Spatiotemporal processes,JOUR,,,1047-7047,,,,,eng,INFORMS: Institute for Operations Research & the Management Sciences,128,109,20.0,23.0,1,10.1287/isre.1100.0306,,1LD,,https://research.ebsco.com/plink/3dc4c8f9-ec53-31f0-b9c2-8b600ee0ee80,,,,,85b03fda-b27e-48e8-8a4c-c83e69fd20c1.csv,https://research.ebsco.com/plink/3dc4c8f9-ec53-31f0-b9c2-8b600ee0ee80|https://research.ebsco.com/plink/bbd8b5d0-50e2-361c-a642-d45a12a60ee0|https://research.ebsco.com/plink/e3a406b3-6911-32ee-8865-c74300cf4a09|https://research.ebsco.com/plink/3b4aa176-9a11-317e-8288-50e1ab2b7ab2|https://research.ebsco.com/plink/ad56bf09-5521-396e-abc1-5512e9da1191,Information Systems Research
OpenAIRE,edsair,edsair.doi...........fb13dac873214869c1ce019366e7fc7b,Knowing What a User Likes: A Design Science Approach to Interfaces that Automatically Adapt to Culture1,"Adapting user interfaces to a user’s cultural background can increase satisfaction, revenue, and market share. Conventional approaches to catering for culture are restricted to adaptations for specific countries and modify only a limited number of interface components, such as the language or date and time formats. We argue that a more comprehensive personalization of interfaces to cultural background is needed to appeal to users in expanding markets. This paper introduces a low-cost, yet efficient method to achieve this goal: cultural adaptivity. Culturally adaptive interfaces are able to adapt their look and feel to suit visual preferences. In a design science approach, we have developed a number of artifacts that support cultural adaptivity, including a prototype web application. We evaluate the efficacy of the prototype’s automatically generated interfaces by comparing them with the preferred interfaces of 105 Rwandan, Swiss, Thai, and multicultural users. The findings demonstrate the feasibility of providing users with interfaces that correspond to their cultural preferences in a novel yet effective manner.",20130601,Katharina Reinecke ; Abraham Bernstein,Article,Academic Journal,2013,True,MIS Quarterly,,GEN,,,21629730 ; 02767783,,,,,English,MIS Quarterly,453,427,27.0,37.0,,10.25300/misq/2013/37.2.06,,,,https://research.ebsco.com/plink/6653d656-c1bf-3623-9e18-5500bb8bb9f7,,,,,85b03fda-b27e-48e8-8a4c-c83e69fd20c1.csv,https://research.ebsco.com/plink/6653d656-c1bf-3623-9e18-5500bb8bb9f7,MIS Quarterly
Applied Science & Technology Source Ultimate,aps,13406357,GIST: A MODEL FOR DESIGN AND MANAGEMENT OF CONTENT AND INTERACTIVITY OF CUSTOMER-CENTRIC WEB SITES.,"Customer-centric Web-based systems, such as e-commerce Web sites, or sites that support customer relationship management (CRM) activities, are themselves information systems, but their design and maintenance need to follow vastly different approaches from the traditional systems lifecycle approach. Based on marketing frame- works that are applicable to the online world, and following design science principles, we develop a model to guide the design and the continuous management of such sites. The model makes extensive use of current technologies for tracking the customers and their behaviors, and combines elements of data mining and statistical analyses. A case study based on a financial services Web site is used to provide a preliminary validation and design evaluation of our approach. The case study showed considerable measured improvement in the effectiveness of the company's Web site. In addition, it also highlighted an important benefit of the our approach: the identification of previously unknown or unexpected segments of visitors. This finding can lead to promising new business opportunities.",20040601,"Albert, Terri C. ; Goes, Paulo B. ; Gupta, Alok",Article,Academic Journal,Jun2004,True,MIS Quarterly,Electronic commerce ; Customer services ; Web design ; Computer network resources ; Electronic Shopping ; Electronic shopping and mail-order houses ; Internet Publishing and Broadcasting and Web Search Portals ; Computer systems design and related services (except video game design and development) ; Consumer preferences ; Market segmentation ; Website management ; Business models ; Interactive marketing ; Target marketing ; Web analytics ; Economics,JOUR,,,02767783,,,,,English,,182,161,22.0,28.0,2,10.2307/25148632,,MIS,,https://research.ebsco.com/plink/f8656dd2-fdb7-3dcc-b711-6b9390fa5b96,,,,,85b03fda-b27e-48e8-8a4c-c83e69fd20c1.csv,https://research.ebsco.com/plink/f8656dd2-fdb7-3dcc-b711-6b9390fa5b96|https://research.ebsco.com/plink/6722281f-4d9e-3591-bd8d-889b3a291fb0,MIS Quarterly
OpenAIRE,edsair,edsair.doi.dedup.....58075e5f36e5bbe290841a1a27a5ff79,Healthcare Predictive Analytics for Risk Profiling in Chronic Care: A Bayesian Multitask Learning Approach1,"Clinical intelligence about a patient’s risk of future adverse health events can support clinical decision making in personalized and preventive care. Healthcare predictive analytics using electronic health records offers a promising direction to address the challenging tasks of risk profiling. Patients with chronic diseases often face risks of not just one, but an array of adverse health events. However, existing risk models typically focus on one specific event and do not predict multiple outcomes. To attain enhanced risk profiling, we adopt the design science paradigm and propose a principled approach called Bayesian multitask learning (BMTL). Considering the model development for an event as a single task, our BMTL approach is to coordinate a set of baseline models—one for each event—and communicate training information across the models. The BMTL approach allows healthcare providers to achieve multifaceted risk profiling and model an arbitrary number of events simultaneously. Our experimental evaluations demonstrate that the BMTL approach attains an improved predictive performance when compared with the alternatives that model multiple events separately. We also find that, in most cases, the BMTL approach significantly outperforms existing multitask learning techniques. More importantly, our analysis shows that the BMTL approach can create significant potential impacts on clinical practice in reducing the failures and delays in preventive interventions. We discuss several implications of this study for health IT, big data and predictive analytics, and design science research.",20170601,Yu-Kai Lin ; Hsinchun Chen ; Randall A. Brown ; Shu-Hsing Li ; Hung-Jen Yang,Article,Academic Journal,2017,True,MIS Quarterly,"2. Zero hunger ; 0502 economics and business ; 05 social sciences ; 0202 electrical engineering, electronic engineering, information engineering ; 02 engineering and technology ; 3. Good health",GEN,,,21629730 ; 02767783,,,,,English,MIS Quarterly,495,473,23.0,41.0,,10.25300/misq/2017/41.2.07,,,,https://research.ebsco.com/plink/8c0422a1-7364-3fc6-81f7-71a3ede162fe,,,,,85b03fda-b27e-48e8-8a4c-c83e69fd20c1.csv,https://research.ebsco.com/plink/8c0422a1-7364-3fc6-81f7-71a3ede162fe,MIS Quarterly
